,ds,y
174,2006-07-01,362203.0
175,2006-08-01,375795.0
176,2006-09-01,346214.0
177,2006-10-01,348796.0
178,2006-11-01,356928.0
179,2006-12-01,417991.0
180,2007-01-01,328877.0
181,2007-02-01,323162.0
182,2007-03-01,374142.0
183,2007-04-01,358535.0
184,2007-05-01,391512.0
185,2007-06-01,376639.0
186,2007-07-01,372354.0
187,2007-08-01,388016.0
188,2007-09-01,353936.0
189,2007-10-01,368681.0
190,2007-11-01,377802.0
191,2007-12-01,426077.0
192,2008-01-01,342697.0
193,2008-02-01,343937.0
194,2008-03-01,372923.0
195,2008-04-01,368923.0
196,2008-05-01,397969.0
197,2008-06-01,378490.0
198,2008-07-01,383686.0
199,2008-08-01,382852.0
200,2008-09-01,350560.0
201,2008-10-01,349884.0
202,2008-11-01,335571.0
203,2008-12-01,384286.0
204,2009-01-01,310269.0
205,2009-02-01,299488.0
206,2009-03-01,328568.0
207,2009-04-01,329866.0
208,2009-05-01,347768.0
209,2009-06-01,344439.0
210,2009-07-01,348106.0
211,2009-08-01,353473.0
212,2009-09-01,324708.0
213,2009-10-01,338630.0
214,2009-11-01,339386.0
215,2009-12-01,400264.0
216,2010-01-01,314640.0
217,2010-02-01,311022.0
218,2010-03-01,360819.0
219,2010-04-01,356460.0
220,2010-05-01,365713.0
221,2010-06-01,358675.0
222,2010-07-01,362027.0
223,2010-08-01,362682.0
224,2010-09-01,346069.0
225,2010-10-01,355212.0
226,2010-11-01,365809.0
227,2010-12-01,426654.0
228,2011-01-01,335608.0
229,2011-02-01,337352.0
230,2011-03-01,387092.0
231,2011-04-01,380754.0
232,2011-05-01,391970.0
233,2011-06-01,388636.0
234,2011-07-01,384600.0
235,2011-08-01,394548.0
236,2011-09-01,374895.0
237,2011-10-01,379364.0
238,2011-11-01,391081.0
239,2011-12-01,451669.0
240,2012-01-01,355058.0
241,2012-02-01,372523.0
242,2012-03-01,414275.0
243,2012-04-01,393035.0
244,2012-05-01,418648.0
245,2012-06-01,400996.0
246,2012-07-01,396020.0
247,2012-08-01,417911.0
248,2012-09-01,385597.0
249,2012-10-01,399341.0
250,2012-11-01,410992.0
251,2012-12-01,461994.0
252,2013-01-01,375537.0
253,2013-02-01,373938.0
254,2013-03-01,421638.0
255,2013-04-01,408381.0
256,2013-05-01,436985.0
257,2013-06-01,414701.0
258,2013-07-01,422357.0
259,2013-08-01,434950.0
260,2013-09-01,396199.0
261,2013-10-01,415740.0
262,2013-11-01,423611.0
263,2013-12-01,477205.0
264,2014-01-01,383399.0
265,2014-02-01,380315.0
266,2014-03-01,432806.0
267,2014-04-01,431415.0
268,2014-05-01,458822.0
269,2014-06-01,433152.0
270,2014-07-01,443005.0
271,2014-08-01,450913.0
272,2014-09-01,420871.0
273,2014-10-01,437702.0
274,2014-11-01,437910.0
275,2014-12-01,501232.0
276,2015-01-01,397252.0
277,2015-02-01,386935.0
278,2015-03-01,444110.0
279,2015-04-01,438217.0
280,2015-05-01,462615.0
281,2015-06-01,448229.0
282,2015-07-01,457710.0
283,2015-08-01,456340.0
284,2015-09-01,430917.0
285,2015-10-01,444959.0
286,2015-11-01,444507.0
287,2015-12-01,518253.0
288,2016-01-01,400928.0
289,2016-02-01,413554.0
290,2016-03-01,460093.0
291,2016-04-01,450935.0
292,2016-05-01,471421.0
